id,user_input,bot_response
1357886_dir,Who directed Django Undisputed?,Django Undisputed was directed by Claudio Del Falco.
1357886_cast,Who starred in Django Undisputed?,"The main cast includes Claudio Del Falco, Tomas Arana, Michael Segal, Ottaviano Dell'Acqua, Clara Guggiari."
1357886_year,When was Django Undisputed released?,Django Undisputed was released in 2024.
1357886_rec,Recommend a movie like Django Undisputed.,"If you liked Django Undisputed, you might enjoy Palm Springs, Insomnia, Joker."
1512581_dir,Who directed No Tears in Hell?,No Tears in Hell was directed by Michael Caissie.
1512581_cast,Who starred in No Tears in Hell?,"The main cast includes Luke Baines, Gwen Van Dam, Tatjana Marjanovic, Audrey Neal, Gabriella Westwood."
1512581_year,When was No Tears in Hell released?,No Tears in Hell was released in 2025.
1512581_rec,Recommend a movie like No Tears in Hell.,"If you liked No Tears in Hell, you might enjoy American Sweatshop, Shell, Graduation Heist."
1078605_dir,Who directed Weapons?,Weapons was directed by Zach Cregger.
1078605_cast,Who starred in Weapons?,"The main cast includes Julia Garner, Josh Brolin, Alden Ehrenreich, Austin Abrams, Benedict Wong."
1078605_year,When was Weapons released?,Weapons was released in 2025.
1078605_rec,Recommend a movie like Weapons.,"If you liked Weapons, you might enjoy Bring Her Back, Together, The Conjuring: Last Rites."
1054867_dir,Who directed One Battle After Another?,One Battle After Another was directed by Paul Thomas Anderson.
1054867_cast,Who starred in One Battle After Another?,"The main cast includes Leonardo DiCaprio, Sean Penn, Chase Infiniti, Benicio del Toro, Regina Hall."
1054867_year,When was One Battle After Another released?,One Battle After Another was released in 2025.
1054867_rec,Recommend a movie like One Battle After Another.,"If you liked One Battle After Another, you might enjoy The Voice of Hind Rajab, The Smashing Machine, The Long Walk."
1234821_dir,Who directed Jurassic World Rebirth?,Jurassic World Rebirth was directed by Gareth Edwards.
1234821_cast,Who starred in Jurassic World Rebirth?,"The main cast includes Scarlett Johansson, Mahershala Ali, Jonathan Bailey, Rupert Friend, Manuel Garcia-Rulfo."
1234821_year,When was Jurassic World Rebirth released?,Jurassic World Rebirth was released in 2025.
1234821_rec,Recommend a movie like Jurassic World Rebirth.,"If you liked Jurassic World Rebirth, you might enjoy Superman, Night Carnage, How to Train Your Dragon."
911430_dir,Who directed F1?,F1 was directed by Joseph Kosinski.
911430_cast,Who starred in F1?,"The main cast includes Brad Pitt, Damson Idris, Javier Bardem, Kerry Condon, Tobias Menzies."
911430_year,When was F1 released?,F1 was released in 2025.
911430_rec,Recommend a movie like F1.,"If you liked F1, you might enjoy Superman, Mission: Impossible - The Final Reckoning, Jurassic World Rebirth."
1552819_dir,Who directed Assassin?,Assassin was directed by .
1552819_cast,Who starred in Assassin?,"The main cast includes Ray Lui, Ming Wang."
1552819_year,When was Assassin released?,Assassin was released in 2025.
1552819_rec,Recommend a movie like Assassin.,"If you liked Assassin, you might enjoy Rate the Cookie, Killer Tomatoes Eat France!, Search."
1549457_dir,Who directed Gypsy Moon?,Gypsy Moon was directed by Tony Gibson.
1549457_cast,Who starred in Gypsy Moon?,"The main cast includes Tony Gibson, Lauren Lox, Alexis Arnold, David D. Ford."
1549457_year,When was Gypsy Moon released?,Gypsy Moon was released in 2024.
1236470_dir,Who directed The Lost Bus?,The Lost Bus was directed by Paul Greengrass.
1236470_cast,Who starred in The Lost Bus?,"The main cast includes Matthew McConaughey, America Ferrera, Yul Vazquez, Ashlie Atkinson, Kimberli Flores."
1236470_year,When was The Lost Bus released?,The Lost Bus was released in 2025.
1236470_rec,Recommend a movie like The Lost Bus.,"If you liked The Lost Bus, you might enjoy Twinless, All of You, TRON: Ares."
1218925_dir,Who directed Chainsaw Man - The Movie: Reze Arc?,Chainsaw Man - The Movie: Reze Arc was directed by Tatsuya Yoshihara.
1218925_cast,Who starred in Chainsaw Man - The Movie: Reze Arc?,"The main cast includes Kikunosuke Toya, Reina Ueda, Shiori Izawa, Tomori Kusunoki, Shogo Sakata."
1218925_year,When was Chainsaw Man - The Movie: Reze Arc released?,Chainsaw Man - The Movie: Reze Arc was released in 2025.
1218925_rec,Recommend a movie like Chainsaw Man - The Movie: Reze Arc.,"If you liked Chainsaw Man - The Movie: Reze Arc, you might enjoy Marco, No Other Choice, Kantara: Chapter 1."
1007734_dir,Who directed Nobody 2?,Nobody 2 was directed by Timo Tjahjanto.
1007734_cast,Who starred in Nobody 2?,"The main cast includes Bob Odenkirk, Connie Nielsen, John Ortiz, Colin Hanks, RZA."
1007734_year,When was Nobody 2 released?,Nobody 2 was released in 2025.
1007734_rec,Recommend a movie like Nobody 2.,"If you liked Nobody 2, you might enjoy The Naked Gun, Weapons, Highest 2 Lowest."
1175942_dir,Who directed The Bad Guys 2?,The Bad Guys 2 was directed by Pierre Perifel.
1175942_cast,Who starred in The Bad Guys 2?,"The main cast includes Sam Rockwell, Marc Maron, Awkwafina, Craig Robinson, Anthony Ramos."
1175942_year,When was The Bad Guys 2 released?,The Bad Guys 2 was released in 2025.
1175942_rec,Recommend a movie like The Bad Guys 2.,"If you liked The Bad Guys 2, you might enjoy The Bad Guys, Elio, The Naked Gun."
980477_dir,Who directed Ne Zha 2?,Ne Zha 2 was directed by Yang Yu.
980477_cast,Who starred in Ne Zha 2?,"The main cast includes Lu Yanting, Joseph, Han Mo, Chen Hao, Lu Qi."
980477_year,When was Ne Zha 2 released?,Ne Zha 2 was released in 2025.
980477_rec,Recommend a movie like Ne Zha 2.,"If you liked Ne Zha 2, you might enjoy Ne Zha, Creation of the Gods II: Demon Force, Dead to Rights."
1010581_dir,Who directed My Fault?,My Fault was directed by Domingo González.
1010581_cast,Who starred in My Fault?,"The main cast includes Nicole Wallace, Gabriel Guevara, Marta Hazas, Iván Sánchez, Eva Ruiz."
1010581_year,When was My Fault released?,My Fault was released in 2023.
1010581_rec,Recommend a movie like My Fault.,"If you liked My Fault, you might enjoy Your Fault, Through My Window: Across the Sea, Beautiful Disaster."
1156594_dir,Who directed Our Fault?,Our Fault was directed by Domingo González.
1156594_cast,Who starred in Our Fault?,"The main cast includes Nicole Wallace, Gabriel Guevara, Gabriela Andrada, Marta Hazas, Goya Toledo."
1156594_year,When was Our Fault released?,Our Fault was released in 2025.
1156594_rec,Recommend a movie like Our Fault.,"If you liked Our Fault, you might enjoy Hulk, MaXXXine, Interstellar."
157336_dir,Who directed Interstellar?,Interstellar was directed by Christopher Nolan.
157336_cast,Who starred in Interstellar?,"The main cast includes Matthew McConaughey, Anne Hathaway, Michael Caine, Jessica Chastain, Casey Affleck."
157336_year,When was Interstellar released?,Interstellar was released in 2014.
157336_rec,Recommend a movie like Interstellar.,"If you liked Interstellar, you might enjoy Inception, The Martian, Guardians of the Galaxy."
552524_dir,Who directed Lilo & Stitch?,Lilo & Stitch was directed by Dean Fleischer Camp.
552524_cast,Who starred in Lilo & Stitch?,"The main cast includes Maia Kealoha, Sydney Agudong, Chris Sanders, Zach Galifianakis, Billy Magnussen."
552524_year,When was Lilo & Stitch released?,Lilo & Stitch was released in 2025.
552524_rec,Recommend a movie like Lilo & Stitch.,"If you liked Lilo & Stitch, you might enjoy How to Train Your Dragon, Happy Gilmore 2, Elio."
1284120_dir,Who directed The Ugly Stepsister?,The Ugly Stepsister was directed by Emilie Blichfeldt.
1284120_cast,Who starred in The Ugly Stepsister?,"The main cast includes Lea Myren, Ane Dahl Torp, Thea Sofie Loch Næss, Flo Fagerli, Isac Calmroth."
1284120_year,When was The Ugly Stepsister released?,The Ugly Stepsister was released in 2025.
1284120_rec,Recommend a movie like The Ugly Stepsister.,"If you liked The Ugly Stepsister, you might enjoy Sharp Corner, Fear Street: Prom Queen, Reflection in a Dead Diamond."
987400_dir,Who directed Aztec Batman: Clash of Empires?,Aztec Batman: Clash of Empires was directed by Juan Jose Meza-Leon.
987400_cast,Who starred in Aztec Batman: Clash of Empires?,"The main cast includes Horacio García Rojas, Álvaro Morte, Omar Chaparro, Humberto Busto, Jorge R. Gutierrez."
987400_year,When was Aztec Batman: Clash of Empires released?,Aztec Batman: Clash of Empires was released in 2025.
987400_rec,Recommend a movie like Aztec Batman: Clash of Empires.,"If you liked Aztec Batman: Clash of Empires, you might enjoy Who's Singin' Over There?, Demons of Eden, A Woman Called Mother."
1010756_dir,Who directed The Strangers: Chapter 2?,The Strangers: Chapter 2 was directed by Renny Harlin.
1010756_cast,Who starred in The Strangers: Chapter 2?,"The main cast includes Madelaine Petsch, Froy Gutierrez, Gabriel Basso, Ema Horvath, Brooke Lena Johnson."
1010756_year,When was The Strangers: Chapter 2 released?,The Strangers: Chapter 2 was released in 2025.
1010756_rec,Recommend a movie like The Strangers: Chapter 2.,"If you liked The Strangers: Chapter 2, you might enjoy Devils Stay, HIM, The Strangers: Chapter 3."
1385169_dir,Who directed Rumpelstiltskin?,Rumpelstiltskin was directed by Andy Edwards.
1385169_cast,Who starred in Rumpelstiltskin?,"The main cast includes Hannah Baxter-Eve, Joss Carter, Adrian Bouchet, Colin Malone, Evyn George."
1385169_year,When was Rumpelstiltskin released?,Rumpelstiltskin was released in 2025.
1385169_rec,Recommend a movie like Rumpelstiltskin.,"If you liked Rumpelstiltskin, you might enjoy Fight Club (Russian version), NULL, Lethal Weapon 2."
1223422_dir,Who directed Motherland?,Motherland was directed by Evan Matthews.
1223422_cast,Who starred in Motherland?,"The main cast includes Miriam Silverman, Emily Arancio, Holland Taylor, Nestor Carbonell, Arica Himmel."
1223422_year,When was Motherland released?,Motherland was released in 2025.
1223422_rec,Recommend a movie like Motherland.,"If you liked Motherland, you might enjoy Victory by Submission, The State of the Dead, Cabin Pressure."
1403735_dir,Who directed Laila?,Laila was directed by Ram Narayan.
1403735_cast,Who starred in Laila?,"The main cast includes Vishwak Sen, Akanksha Sharma, Babloo Prithiveeraj, Abhimanyu Singh, Vineet Kumar."
1403735_year,When was Laila released?,Laila was released in 2025.
1403735_rec,Recommend a movie like Laila.,"If you liked Laila, you might enjoy Scooby-Doo: Agence toutou risques, vol. 1 : Le voleur de vélo, Wizards of Waverly Place: Wizard School, MAR."
1477114_dir,Who directed Sorority?,Sorority was directed by Sigrid Polon.
1477114_cast,Who starred in Sorority?,"The main cast includes Azi Acosta, Apple Dy, Rinoa Halili, Julianne Richards, Jackie Lyn Barcebal."
1477114_year,When was Sorority released?,Sorority was released in 2025.
1477114_rec,Recommend a movie like Sorority.,"If you liked Sorority, you might enjoy Don't Think I've Forgotten: Cambodia's Lost Rock and Roll, High and Low, Bangkera."
